 Sw H + Iono O	South to North 	T = 12:00:00	
Nightside		Dayside	
X[R]	Z[R]	X[R]	Z[R]
2.85E-07	-0.465055788	-3.64E-07	-0.423722156
-2.28E-07	-0.465056264	2.98E-07	-0.423722917
-2.58E-07	-0.465057634	3.17E-07	-0.423724459
2.06E-07	-0.465058061	-2.58E-07	-0.423725126
2.13E-07	-0.465059248	-2.71E-07	-0.423726452
-1.61E-07	-0.465059653	2.08E-07	-0.423727083
-7.21E-08	-0.465059925	9.55E-08	-0.423727353
-3.03E-08	-0.465060052	4.07E-08	-0.423727484
-1.23E-08	-0.465060107	6.67E-08	-0.423727756
-2.29E-08	-0.465060205	-4.65E-08	-0.423727932
1.54E-08	-0.465060257	9.17E-08	-0.423728309
6.24E-09	-0.465060285	-6.54E-08	-0.423728546
1.19E-08	-0.465060336	-9.57E-08	-0.423728953
-8.01E-09	-0.465060363	6.73E-08	-0.423729204
-3.29E-07	-0.465061249	2.81E-08	-0.423729298
2.75E-07	-0.465061726	4.70E-08	-0.423729488
3.28E-07	-0.465063424	-3.23E-08	-0.423729614
-2.63E-07	-0.465063963	-5.51E-08	-0.423729836
-2.94E-07	-0.465065535	3.77E-08	-0.423729984
2.35E-07	-0.465066017	1.54E-08	-0.423730038
2.42E-07	-0.465067371	2.81E-08	-0.423730148
-1.83E-07	-0.465067829	-1.90E-08	-0.423730225
-8.23E-08	-0.465068137	-7.70E-09	-0.423730252
-1.10E-07	-0.465068678	-1.46E-08	-0.423730309
7.89E-08	-0.46506891	9.81E-09	-0.423730349
1.15E-07	-0.465069452	3.95E-09	-0.423730363
-8.08E-08	-0.465069699	7.65E-09	-0.423730392
-3.38E-08	-0.465069843	-5.13E-09	-0.423730413
-5.63E-08	-0.465070093	-9.93E-09	-0.423730451
3.87E-08	-0.465070219	6.66E-09	-0.423730479
3.51E-07	-0.465071256	3.90E-07	-0.423731514
-2.91E-07	-0.465071774	-3.25E-07	-0.423732292
-3.00E-07	-0.465073449	-3.31E-07	-0.423733938
2.47E-07	-0.465073901	2.74E-07	-0.423734608
1.17E-07	-0.4650743	1.30E-07	-0.423734953
3.84E-07	-0.465075662	4.05E-07	-0.423736326
-3.15E-07	-0.465076251	-3.32E-07	-0.423737168
-3.33E-07	-0.465078083	-3.51E-07	-0.423738883
2.72E-07	-0.465078599	2.87E-07	-0.423739619
2.72E-07	-0.465080141	2.87E-07	-0.423741057
-2.08E-07	-0.465080639	-2.20E-07	-0.423741729
-9.53E-08	-0.465080985	-2.26E-07	-0.423742848
-4.05E-08	-0.465081153	1.77E-07	-0.423743361
-6.68E-08	-0.465081451	2.10E-07	-0.423744336
4.65E-08	-0.465081597	-1.65E-07	-0.423744809
-9.17E-08	-0.465082005	-1.78E-07	-0.423745671
6.53E-08	-0.465082199	1.33E-07	-0.423746104
9.62E-08	-0.46508265	1.66E-07	-0.423746858
-6.76E-08	-0.465082858	-1.20E-07	-0.423747279
-3.33E-07	-0.465083935	-5.16E-08	-0.423747443
2.74E-07	-0.465084436	-7.89E-08	-0.423747774
3.68E-07	-0.465086239	5.51E-08	-0.423747982
-2.96E-07	-0.46508684	2.28E-08	-0.423748059
-3.28E-07	-0.465088604	3.92E-08	-0.423748217
2.64E-07	-0.465089139	-2.68E-08	-0.423748322
3.20E-07	-0.465090784	-4.66E-08	-0.423748509
-2.47E-07	-0.465091362	3.18E-08	-0.423748635
-2.50E-07	-0.465092774	1.30E-08	-0.42374868
1.97E-07	-0.465093204	2.39E-08	-0.423748773
2.30E-07	-0.465094409	-1.62E-08	-0.423748839
-1.82E-07	-0.4650948	-6.53E-09	-0.423748862
-8.20E-08	-0.465095107	-3.60E-07	-0.423749819
-1.17E-07	-0.465095665	2.88E-07	-0.423750601
8.44E-08	-0.465095909	1.40E-07	-0.423750956
-1.60E-07	-0.465096661	1.58E-07	-0.423751705
1.20E-07	-0.465096974	-1.17E-07	-0.423752094
