Sw H + Iono O	North to South	T = 12:00:00	
Nightside		Dayside	
X[R]	Z[R]	X[R]	Z[R]
-0.101362272	-0.39880261	0.099919185	-0.398311901
-0.107957236	-0.416060141	0.106509171	-0.415556406
-0.115688421	-0.436290905	0.114145754	-0.435539618
-0.124541354	-0.459457031	0.122952182	-0.45858405
-0.134374267	-0.484717271	0.132690835	-0.483679258
-0.145858519	-0.512844938	0.144003017	-0.511585505
-0.157273039	-0.539452319	0.15533151	-0.538242587
-0.168918913	-0.565402768	0.16688113	-0.564265148
-0.180966041	-0.59113226	0.178816552	-0.590004936
-0.193152816	-0.616740385	0.190929563	-0.615675544
-0.205770104	-0.64270918	0.203408688	-0.641666812
-0.219070829	-0.668824081	0.216566527	-0.667830639
-0.232849401	-0.694775426	0.23021744	-0.693861347
-0.246825219	-0.720365099	0.244038971	-0.719548409
-0.260804696	-0.745545635	0.257895409	-0.744801123
-0.275258309	-0.771380622	0.272248521	-0.770685581
-0.28985381	-0.797051658	0.286727226	-0.796413063
-0.304680252	-0.822344777	0.301436911	-0.821765087
-0.319855314	-0.847662593	0.316472994	-0.847131226
-0.335050857	-0.872743982	0.331548624	-0.872295745
-0.350769455	-0.897952875	0.347114418	-0.897594119
-0.36699689	-0.923081175	0.363172379	-0.922808014
-0.383425077	-0.947909445	0.379484323	-0.947747342
-0.394933946	-0.965039145	0.390913295	-0.964936264
-0.402739196	-0.976573698	0.398655659	-0.976497494
-0.408005162	-0.984338159	0.403885489	-0.984287021
-0.411530106	-0.989538828	0.407385362	-0.989504946
-0.41388661	-0.993017131	0.409724673	-0.992994995
-0.415460576	-0.995341085	0.411286955	-0.995326892
-0.416511221	-0.996892682	0.412329709	-0.996883835
-0.417212249	-0.99792811	0.413025431	-0.99792285
-0.417679868	-0.998618856	0.413489493	-0.998615998
-0.417991733	-0.99907956	0.413798977	-0.999078307
-0.418199697	-0.999386787	0.414005349	-0.999386607
-0.418338363	-0.999591646	0.414142952	-0.999592182
-0.418430817	-0.999728237	0.414234697	-0.999729251
-0.418492458	-0.999819305	0.414295865	-0.999820638
-0.418533555	-0.999880021	0.414336645	-0.999881566
-0.418560953	-0.9999205	0.414363833	-0.999922187
-0.418579219	-0.999947487	0.414381959	-0.999949268
-0.418591396	-0.999965478	0.414394042	-0.999967323
-0.418599515	-0.999977473	0.414402098	-0.999979359
-0.418604927	-0.999985469	0.414407469	-0.999987383
-0.418608535	-0.9999908	0.41441105	-0.999992733
-0.418610941	-0.999994354	0.414413437	-0.999996299
-0.418612544	-0.999996723	0.414415028	-0.999998677
-0.418613614	-0.999998303	0.414416089	-1.000000262
-0.418614718	-1.000000118	0.41441715	-1.000001847
-0.418618959	-1.0000062	0.414419272	-1.000005017
-0.418627512	-1.000018837	0.414423515	-1.000011358
-0.418644617	-1.000044108	0.414491405	-1.000112786
-0.418678828	-1.000094649	0.414627177	-1.000315606
-0.418815651	-1.000296761	0.415169958	-1.001126066
-0.41936264	-1.001104379	0.416255043	-1.002744541
-0.420456172	-1.002717132	0.418423263	-1.005971592
-0.4374411	-1.027434727	0.422751536	-1.01238507
-0.454696489	-1.051885513	0.439692497	-1.037095497
-0.472274057	-1.076241385	0.456913111	-1.061611559
-0.490006606	-1.100367317	0.474388399	-1.086004211
-0.507875917	-1.124285711	0.492010396	-1.110167855
-0.52609962	-1.148333559	0.509868119	-1.134240157
-0.544462948	-1.172183107	0.528007492	-1.158312433
-0.563010365	-1.19582073	0.546298091	-1.182167846
-0.581802588	-1.219376706	0.564797954	-1.205876721
-0.600710379	-1.242738566	0.583487788	-1.229478871
-0.619924706	-1.265993213	0.602313699	-1.252901901
-0.639443432	-1.289136059	0.621521337	-1.276284944
-0.659090374	-1.312076703	0.640961132	-1.299464623
-0.678892403	-1.334865299	0.660521015	-1.322449545
-0.69887763	-1.357571436	0.680250386	-1.34533265
-0.718993824	-1.380123088	0.70011493	-1.368114892
