Sw H+ Iono H	North to South	T = 12:00:00	
Nightside		Dayside	
X[R]	Z[R]	X[R]	Z[R]
-0.057517964	-0.394447513	0.098459051	-0.397843234
-0.064294002	-0.412178874	0.105045433	-0.415078307
-0.072409107	-0.433414271	0.112582128	-0.434800134
-0.080438392	-0.454425095	0.121339981	-0.457717458
-0.089623823	-0.478461293	0.130981744	-0.482643276
-0.099377524	-0.504208878	0.142123859	-0.510333008
-0.109978791	-0.533216668	0.153366149	-0.537038919
-0.119879905	-0.561351676	0.164819818	-0.563132635
-0.129457968	-0.588790254	0.176644335	-0.588882105
-0.138641477	-0.615089202	0.188683442	-0.614614601
-0.148159281	-0.642518786	0.201025605	-0.64062855
-0.157762876	-0.670154749	0.214040967	-0.666840243
-0.167620317	-0.697343522	0.227564273	-0.692949563
-0.17774971	-0.724432274	0.241231865	-0.718732842
-0.187886157	-0.751397278	0.254968776	-0.744072812
-0.198481656	-0.779067186	0.269180824	-0.769958702
-0.209402748	-0.806541351	0.283544938	-0.795744237
-0.220496158	-0.833935935	0.298137813	-0.821177798
-0.231583888	-0.861089412	0.313034332	-0.846591589
-0.242978164	-0.888235472	0.327989231	-0.871839196
-0.254854052	-0.915639198	0.343401356	-0.897226687
-0.266838662	-0.942771936	0.359288707	-0.922525329
-0.275270965	-0.961571274	0.375483144	-0.947575359
-0.281013433	-0.97424331	0.38683194	-0.964823238
-0.284887302	-0.982774254	0.394514792	-0.976426294
-0.287477823	-0.988491691	0.399699477	-0.984234545
-0.289208425	-0.992317215	0.403174078	-0.989469692
-0.290363771	-0.994873899	0.405496059	-0.992971459
-0.291134722	-0.996581218	0.407046566	-0.995311275
-0.291649012	-0.997720717	0.408081369	-0.996873548
-0.291992014	-0.998480959	0.408771744	-0.997916138
-0.292220746	-0.998988045	0.409232221	-0.99861168
-0.292373263	-0.999326217	0.409539306	-0.999075589
-0.292474953	-0.999551716	0.409744074	-0.999384957
-0.292542753	-0.999702072	0.409880606	-0.999591246
-0.292587954	-0.999802319	0.409971636	-0.99972879
-0.29261809	-0.999869155	0.410032327	-0.999820495
-0.292638181	-0.999913714	0.41007279	-0.999881635
-0.292651575	-0.999943421	0.410099765	-0.999922397
-0.292660505	-0.999963226	0.410117749	-0.999949573
-0.292666458	-0.99997643	0.410129739	-0.99996769
-0.292670427	-0.999985232	0.410137732	-0.999979768
-0.292673073	-0.9999911	0.410143061	-0.99998782
-0.292674837	-0.999995013	0.410146613	-0.999993189
-0.292676012	-0.999997621	0.410148982	-0.999996767
-0.292676796	-0.99999936	0.410150561	-0.999999153
-0.29267758	-1.000001098	0.410151613	-1.000000744
-0.292679148	-1.000004576	0.410152666	-1.000002334
-0.293480488	-1.001780735	0.410154771	-1.000005516
-0.295082004	-1.005323371	0.410163192	-1.00001824
-0.298280142	-1.012368878	0.410196874	-1.000069135
-0.310813497	-1.039581217	0.410331582	-1.000272663
-0.323549519	-1.066660298	0.410600967	-1.000679572
-0.336426265	-1.093655223	0.411139613	-1.001492791
-0.349367933	-1.120443366	0.412216398	-1.003116823
-0.362681509	-1.147370668	0.416502795	-1.009559581
-0.376303588	-1.174266461	0.425037745	-1.022278823
-0.39002464	-1.20094423	0.441929379	-1.046983053
-0.403837806	-1.227493021	0.459110101	-1.071570574
-0.417772401	-1.254106567	0.476472956	-1.096004222
-0.431891617	-1.280827135	0.493971739	-1.12020076
-0.446188953	-1.307388647	0.511820001	-1.144413256
-0.460664519	-1.333921717	0.529891821	-1.168500346
-0.475203322	-1.360299102	0.54811473	-1.192369872
-0.489950511	-1.3866037	0.566561921	-1.2161559
-0.504990113	-1.412956262	0.58514039	-1.239808332
-0.520135325	-1.439147913	0.603950004	-1.263333285
-0.535386965	-1.465205785	0.623127998	-1.286768997
-0.550767234	-1.491265178	0.642483697	-1.309987882
-0.566278634	-1.517328059	0.661950504	-1.333019942
