Sw H+ Iono H	South to North	T = 12:00:00	
Nightside		Dayside	
X[R]	Z[R]	X[R]	Z[R]
-1.55E-07	-0.468965755	-1.97E-07	-0.405937354
-1.84E-07	-0.46896672	-2.20E-07	-0.405938346
1.34E-07	-0.468967082	1.68E-07	-0.405938913
3.14E-07	-0.468968322	2.14E-07	-0.405939827
-2.56E-07	-0.468968797	-1.65E-07	-0.405940371
-2.74E-07	-0.468970312	-1.87E-07	-0.405941209
2.23E-07	-0.46897073	1.38E-07	-0.405941712
2.24E-07	-0.46897201	6.04E-08	-0.405941876
-1.71E-07	-0.468972414	8.73E-08	-0.405942233
-1.99E-07	-0.46897347	-6.16E-08	-0.405942479
1.46E-07	-0.468973861	-9.43E-08	-0.405942855
6.36E-08	-0.468974119	6.58E-08	-0.405943123
2.64E-08	-0.468974236	2.73E-08	-0.405943205
-5.25E-08	-0.468974465	4.68E-08	-0.405943385
-3.78E-07	-0.468975318	-3.20E-08	-0.40594352
3.19E-07	-0.46897582	-1.31E-08	-0.40594356
3.20E-07	-0.468977654	-3.62E-07	-0.405944534
-2.54E-07	-0.46897818	2.90E-07	-0.405945403
-2.91E-07	-0.468979733	1.40E-07	-0.405945718
2.32E-07	-0.468980207	1.59E-07	-0.40594643
3.16E-07	-0.468981758	-1.17E-07	-0.405946855
-2.45E-07	-0.468982309	-1.52E-07	-0.405947499
-2.47E-07	-0.468983719	1.09E-07	-0.405947918
1.95E-07	-0.468984128	4.65E-08	-0.40594805
2.26E-07	-0.468985326	7.26E-08	-0.405948338
-1.79E-07	-0.468985696	-5.05E-08	-0.405948545
-2.51E-07	-0.468986912	-3.20E-07	-0.40594949
1.95E-07	-0.46898735	2.65E-07	-0.405950218
2.18E-07	-0.468988528	2.75E-07	-0.405951496
-1.61E-07	-0.468988948	-2.14E-07	-0.405952184
-7.08E-08	-0.46898923	-2.57E-07	-0.405953309
-1.01E-07	-0.468989716	2.02E-07	-0.405953947
7.15E-08	-0.468989928	3.20E-07	-0.40595521
3.00E-08	-0.468990058	-2.49E-07	-0.405956013
4.95E-08	-0.468990281	-2.59E-07	-0.405957218
-3.41E-08	-0.468990389	2.07E-07	-0.405957846
-5.75E-08	-0.468990646	3.92E-07	-0.405959307
3.95E-08	-0.468990772	-3.36E-07	-0.405960129
1.61E-08	-0.468990845	-1.68E-07	-0.405960483
2.93E-08	-0.468990972	-3.54E-07	-0.405961766
-1.98E-08	-0.468991037	2.88E-07	-0.405962597
-8.03E-09	-0.468991074	3.11E-07	-0.405964018
-1.52E-08	-0.468991138	-2.52E-07	-0.405964748
1.02E-08	-0.468991173	-2.54E-07	-0.405965943
3.19E-07	-0.46899204	1.93E-07	-0.405966598
-2.66E-07	-0.468992486	8.78E-08	-0.405966821
-3.20E-07	-0.468994153	3.72E-08	-0.405966928
2.56E-07	-0.468994662	6.19E-08	-0.405967168
2.86E-07	-0.46899621	-4.30E-08	-0.405967345
-2.29E-07	-0.468996665	8.50E-08	-0.40596768
-2.36E-07	-0.468997998	-6.04E-08	-0.405967918
1.78E-07	-0.468998433	-2.50E-08	-0.405967993
8.02E-08	-0.46899874	4.97E-08	-0.405968184
3.38E-08	-0.468998885	3.84E-07	-0.405969059
5.71E-08	-0.468999139	-3.24E-07	-0.405969896
-3.95E-08	-0.468999263	-3.25E-07	-0.40597143
7.83E-08	-0.468999609	2.57E-07	-0.405972223
-5.53E-08	-0.468999774	2.96E-07	-0.40597354
-8.41E-08	-0.469000166	-2.35E-07	-0.40597426
5.88E-08	-0.469000346	-2.46E-07	-0.405975401
2.44E-08	-0.469000453	1.85E-07	-0.405976048
4.17E-08	-0.469000638	8.27E-08	-0.405976265
-2.85E-08	-0.46900073	1.13E-07	-0.405976735
-3.06E-07	-0.46900162	-8.05E-08	-0.40597705
2.54E-07	-0.469002054	-2.98E-07	-0.405977999
2.61E-07	-0.469003531	2.44E-07	-0.405978683
